Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 82.35209558281322, time: 47.2
steps: 49975, episodes: 2000, mean episode reward: 62.58429600222762, time: 375.557
steps: 74975, episodes: 3000, mean episode reward: 70.40691871273025, time: 77.153
steps: 99975, episodes: 4000, mean episode reward: 78.53736380844714, time: 75.398
steps: 124975, episodes: 5000, mean episode reward: 88.4284821427756, time: 76.561
steps: 149975, episodes: 6000, mean episode reward: 101.35027702819026, time: 77.045
steps: 174975, episodes: 7000, mean episode reward: 102.79912147902664, time: 78.153
steps: 199975, episodes: 8000, mean episode reward: 105.72161446196336, time: 79.588
steps: 224975, episodes: 9000, mean episode reward: 105.0305177145005, time: 74.419
steps: 249975, episodes: 10000, mean episode reward: 106.42876420208812, time: 75.46
steps: 274975, episodes: 11000, mean episode reward: 110.59564217269302, time: 76.216
steps: 299975, episodes: 12000, mean episode reward: 112.6581295694775, time: 76.922
steps: 324975, episodes: 13000, mean episode reward: 109.2204188291285, time: 81.272
steps: 349975, episodes: 14000, mean episode reward: 112.02408760986073, time: 76.309
steps: 374975, episodes: 15000, mean episode reward: 110.16940074121608, time: 75.127
steps: 399975, episodes: 16000, mean episode reward: 108.3996263729618, time: 76.775
steps: 424975, episodes: 17000, mean episode reward: 105.83300756386078, time: 75.949
steps: 449975, episodes: 18000, mean episode reward: 105.86835353550345, time: 75.463
steps: 474975, episodes: 19000, mean episode reward: 98.02484548027107, time: 77.691
steps: 499975, episodes: 20000, mean episode reward: 96.88735895209368, time: 77.222
steps: 524975, episodes: 21000, mean episode reward: 105.62636062045863, time: 75.369
steps: 549975, episodes: 22000, mean episode reward: 111.9269468384031, time: 77.578
steps: 574975, episodes: 23000, mean episode reward: 99.40298473725875, time: 75.828
steps: 599975, episodes: 24000, mean episode reward: 113.45715039038701, time: 75.928
steps: 624975, episodes: 25000, mean episode reward: 110.13991380476251, time: 79.326
steps: 649975, episodes: 26000, mean episode reward: 118.62914194240071, time: 76.58
steps: 674975, episodes: 27000, mean episode reward: 111.74580448612865, time: 77.747
steps: 699975, episodes: 28000, mean episode reward: 117.09604336056375, time: 76.022
steps: 724975, episodes: 29000, mean episode reward: 113.79751456233845, time: 76.548
steps: 749975, episodes: 30000, mean episode reward: 119.07175726956368, time: 76.992
steps: 774975, episodes: 31000, mean episode reward: 117.91018591747623, time: 75.761
steps: 799975, episodes: 32000, mean episode reward: 112.96236818138587, time: 75.751
steps: 824975, episodes: 33000, mean episode reward: 114.22668219482657, time: 76.446
steps: 849975, episodes: 34000, mean episode reward: 123.01290580040617, time: 77.408
steps: 874975, episodes: 35000, mean episode reward: 127.3906774499516, time: 80.144
steps: 899975, episodes: 36000, mean episode reward: 120.62055380926866, time: 76.43
steps: 924975, episodes: 37000, mean episode reward: 115.7917215365212, time: 76.991
steps: 949975, episodes: 38000, mean episode reward: 120.71406228016957, time: 76.948
steps: 974975, episodes: 39000, mean episode reward: 125.18176243006828, time: 75.867
steps: 999975, episodes: 40000, mean episode reward: 122.07532806685673, time: 77.13
steps: 1024975, episodes: 41000, mean episode reward: 124.55581694779683, time: 76.768
steps: 1049975, episodes: 42000, mean episode reward: 123.01456782813264, time: 76.604
steps: 1074975, episodes: 43000, mean episode reward: 115.3145708109705, time: 81.063
steps: 1099975, episodes: 44000, mean episode reward: 123.5950974729402, time: 76.819
steps: 1124975, episodes: 45000, mean episode reward: 125.17429342596364, time: 76.38
steps: 1149975, episodes: 46000, mean episode reward: 133.74011087919772, time: 77.438
steps: 1174975, episodes: 47000, mean episode reward: 131.14943271304026, time: 79.291
steps: 1199975, episodes: 48000, mean episode reward: 128.45256794949785, time: 79.99
steps: 1224975, episodes: 49000, mean episode reward: 131.95684298967606, time: 80.511
steps: 1249975, episodes: 50000, mean episode reward: 130.2601434844571, time: 76.856
steps: 1274975, episodes: 51000, mean episode reward: 127.6776420997609, time: 76.805
steps: 1299975, episodes: 52000, mean episode reward: 133.1034705556229, time: 81.318
steps: 1324975, episodes: 53000, mean episode reward: 123.6330752530419, time: 79.406
steps: 1349975, episodes: 54000, mean episode reward: 122.15680903464593, time: 79.099
steps: 1374975, episodes: 55000, mean episode reward: 130.26068829536828, time: 80.52
steps: 1399975, episodes: 56000, mean episode reward: 130.40637820605207, time: 1165.622
steps: 1424975, episodes: 57000, mean episode reward: 131.97451148277185, time: 76.976
steps: 1449975, episodes: 58000, mean episode reward: 127.56330551908084, time: 77.625
steps: 1474975, episodes: 59000, mean episode reward: 131.41113074870117, time: 77.059
steps: 1499975, episodes: 60000, mean episode reward: 128.3660657230787, time: 77.341
steps: 1524975, episodes: 61000, mean episode reward: 138.53787239456813, time: 77.667
steps: 1549975, episodes: 62000, mean episode reward: 128.48708962666743, time: 76.307
steps: 1574975, episodes: 63000, mean episode reward: 133.3149684746948, time: 76.875
steps: 1599975, episodes: 64000, mean episode reward: 133.56835984029846, time: 77.614
steps: 1624975, episodes: 65000, mean episode reward: 138.31700701939496, time: 77.785
steps: 1649975, episodes: 66000, mean episode reward: 130.02349962097676, time: 78.151
steps: 1674975, episodes: 67000, mean episode reward: 137.47773457405023, time: 77.764
steps: 1699975, episodes: 68000, mean episode reward: 139.60867297643995, time: 79.676
steps: 1724975, episodes: 69000, mean episode reward: 140.50741362688478, time: 84.739
steps: 1749975, episodes: 70000, mean episode reward: 141.0854865362791, time: 77.753
steps: 1774975, episodes: 71000, mean episode reward: 144.37928570779926, time: 77.229
steps: 1799975, episodes: 72000, mean episode reward: 143.20336215821814, time: 76.59
steps: 1824975, episodes: 73000, mean episode reward: 145.4279784243484, time: 78.203
steps: 1849975, episodes: 74000, mean episode reward: 141.7422994265101, time: 76.376
steps: 1874975, episodes: 75000, mean episode reward: 147.72366562357695, time: 81.998
steps: 1899975, episodes: 76000, mean episode reward: 143.07327562071112, time: 82.498
steps: 1924975, episodes: 77000, mean episode reward: 147.2765966432041, time: 77.672
steps: 1949975, episodes: 78000, mean episode reward: 154.9095455090957, time: 78.116
steps: 1974975, episodes: 79000, mean episode reward: 155.03179104958573, time: 77.288
steps: 1999975, episodes: 80000, mean episode reward: 155.47368322993856, time: 79.277
steps: 2024975, episodes: 81000, mean episode reward: 155.89367827241387, time: 80.39
steps: 2049975, episodes: 82000, mean episode reward: 154.25548835170952, time: 78.054
steps: 2074975, episodes: 83000, mean episode reward: 157.62300728604941, time: 77.251
steps: 2099975, episodes: 84000, mean episode reward: 160.20905140650598, time: 77.351
steps: 2124975, episodes: 85000, mean episode reward: 152.9412565048432, time: 76.881
steps: 2149975, episodes: 86000, mean episode reward: 150.16754666720087, time: 76.569
steps: 2174975, episodes: 87000, mean episode reward: 155.9473734485301, time: 77.166
steps: 2199975, episodes: 88000, mean episode reward: 156.006352413562, time: 77.167
